City,Population,lat,lng
"Atlanta, GA",463878,33.7629,-84.4227
"Austin, TX",931830,30.3072,-97.756
"Boston, MA",667137,42.332,-71.0202
"Charlotte, NC",827097,35.2087,-80.8307
"Chicago, IL",2720546,41.8376,-87.6818
"Denver, CO",682545,39.7618,-104.8806
"Des Moines, IA",210330,41.5739,-93.6167
"Houston, TX",2296224,29.7805,-95.3863
"Los Angeles, CA",3971883,34.0194,-118.4108
"Madison, WI",248951,43.0878,-89.4301
"New York, NY",8550405,40.6643,-73.9385
"Oakland, CA",419267,37.7699,-122.2256
"Philadelphia, PA",1567442,40.0094,-75.1333
"Phoenix, AZ",1563025,33.5722,-112.088
"Pittsburgh, PA",304391,40.4398,-79.9766
"Portland, OR",632309,45.537,-122.65
"St. Paul/Minneapolis, MN",711790,44.9633,-93.2683
"St. Petersburg, FL",257083,27.762,-82.6441
"Sacramento, CA",490712,38.5666,-121.4686
"San Diego, CA",1394928,32.8153,-117.135
"San Francisco, CA",864816,37.7751,-122.4193
"San Jose, CA",1026908,37.2969,-121.8193
"Santa Ana, CA",335400,33.7365,-117.8826
"Seattle, WA",684451,47.6205,-122.3509
Washington DC,672228,38.9041,-77.0171
