Rank, City, State, PopIn2015, Latitude, Longitude
1, New York, New, 8550405, 40.6643, -73.9385
2, Los Angeles, California, 3971883, 34.0194, -118.4108
3, Chicago, Illinois, 2720546, 41.8376, -87.6818
4, Houston, Texas, 2296224, 29.7805, -95.3863
5, Philadelphia, Pennsylvania, 1567442, 40.0094, -75.1333
6, Phoenix, Arizona, 1563025, 33.5722, -112.0880
7, San Antonio, Texas, 1469845, 29.4724, -98.5251
8, San Diego, California, 1394928, 32.8153, -117.1350
9, Dallas, Texas, 1300092, 32.7757, -96.7967
10, San Jose, California, 1026908, 37.2969, -121.8193
11, Austin, Texas, 931830, 30.3072, -97.7560
12, Jacksonville, Florida, 868031, 30.3370, -81.6613
13, San Francisco, California, 864816, 37.7751, -122.4193
14, Indianapolis, Indiana, 853173, 39.7767, -86.1459
15, Columbus, Ohio, 850106, 39.9848, -82.9850
16, Fort Worth, Texas, 833319, 32.7795, -97.3463
17, Charlotte, North, 827097, 35.2087, -80.8307
18, Seattle, Washington, 684451, 47.6205, -122.3509
19, Denver, Colorado, 682545, 39.7618, -104.8806
20, El Paso, Texas, 681124, 31.8484, -106.4270
21, Detroit, Michigan, 677116, 42.3830, -83.1022
22, Washington, District, 672228, 38.9041, -77.0171
23, Boston, Massachusetts, 667137, 42.3320, -71.0202
24, Memphis, Tennessee, 655770, 35.1035, -89.9785
25, Nashville, Tennessee, 654610, 36.1718, -86.7850
26, Portland, Oregon, 632309, 45.5370, -122.6500
27, Oklahoma City, Oklahoma, 631346, 35.4671, -97.5137
28, Las Vegas, Nevada, 623747, 36.2277, -115.2640
29, Baltimore, Maryland, 621849, 39.3002, -76.6105
30, Louisville, Kentucky, 615366, 38.1781, -85.6667
31, Milwaukee, Wisconsin, 600155, 43.0633, -87.9667
32, Albuquerque, New, 559121, 35.1056, -106.6474
33, Tucson, Arizona, 531641, 32.1543, -110.8711
34, Fresno, California, 520052, 36.7827, -119.7945
35, Sacramento, California, 490712, 38.5666, -121.4686
36, Kansas City, Missouri, 475378, 39.1252, -94.5511
37, Long Beach, California, 474140, 33.8091, -118.1553
38, Mesa, Arizona, 471825, 33.4019, -111.7174
39, Atlanta, Georgia, 463878, 33.7629, -84.4227
40, Colorado Springs, Colorado, 456568, 38.8673, -104.7607
41, Virginia Beach, Virginia, 452745, 36.7793, -76.0240
42, Raleigh, North, 451066, 35.8302, -78.6414
43, Omaha, Nebraska, 443885, 41.2647, -96.0419
44, Miami, Florida, 441003, 25.7752, -80.2086
45, Oakland, California, 419267, 37.7699, -122.2256
46, Minneapolis, Minnesota, 410939, 44.9633, -93.2683
47, Tulsa, Oklahoma, 403505, 36.1279, -95.9023
48, Wichita, Kansas, 389965, 37.6907, -97.3427
49, New Orleans, Louisiana, 389617, 30.0686, -89.9390
50, Arlington, Texas, 388125, 32.7007, -97.1247
51, Cleveland, Ohio, 388072, 41.4781, -81.6795
52, Bakersfield, California, 373640, 35.3212, -119.0183
53, Tampa, Florida, 369075, 27.9701, -82.4797
54, Aurora, Colorado, 359407, 39.7082, -104.8235
55, Honolulu, Hawai, 352769, 21.3259, -157.8453
56, Anaheim, California, 350742, 33.8555, -117.7601
57, Santa Ana, California, 335400, 33.7365, -117.8826
58, Corpus Christi, Texas, 324074, 27.7543, -97.1734
59, Riverside, California, 322424, 33.9381, -117.3932
60, St. Louis, Missouri, 315685, 38.6357, -90.2446
61, Lexington, Kentucky, 314488, 38.0402, -84.4584
62, Stockton, California, 305658, 37.9763, -121.3133
63, Pittsburgh, Pennsylvania, 304391, 40.4398, -79.9766
64, Saint Paul, Minnesota, 300851, 44.9489, -93.1039
65, Anchorage, Alaska, 298695, 61.2176, -149.8953
66, Cincinnati, Ohio, 298550, 39.1399, -84.5064
67, Henderson, Nevada, 285667, 36.0122, -115.0375
68, Greensboro, North, 285342, 36.0965, -79.8271
69, Plano, Texas, 283558, 33.0508, -96.7479
70, Newark, New, 281944, 40.7242, -74.1726
71, Toledo, Ohio, 279789, 41.6641, -83.5819
72, Lincoln, Nebraska, 277348, 40.8090, -96.6804
73, Orlando, Florida, 270934, 28.4159, -81.2988
74, Chula Vista, California, 265757, 32.6277, -117.0152
75, Jersey City, New, 264290, 40.7114, -74.0648
76, Chandler, Arizona, 260828, 33.2829, -111.8549
77, Fort Wayne, Indiana, 260326, 41.0882, -85.1439
78, Buffalo, New, 258071, 42.8925, -78.8597
79, Durham, North, 257636, 35.9810, -78.9056
80, St. Petersburg, Florida, 257083, 27.7620, -82.6441
81, Irvine, California, 256927, 33.6784, -117.7713
82, Laredo, Texas, 255473, 27.5477, -99.4869
83, Lubbock, Texas, 249042, 33.5665, -101.8867
84, Madison, Wisconsin, 248951, 43.0878, -89.4301
85, Gilbert, Arizona, 247542, 33.3102, -111.7422
86, Norfolk, Virginia, 246393, 36.9230, -76.2446
87, Reno, Nevada, 241445, 39.4745, -119.7765
89, Glendale, Arizona, 240126, 33.5331, -112.1899
90, Hialeah, Florida, 237069, 25.8699, -80.3029
91, Garland, Texas, 236897, 32.9098, -96.6304
92, Scottsdale, Arizona, 236839, 33.6687, -111.8237
93, Irving, Texas, 236607, 32.8577, -96.9700
94, Chesapeake, Virginia, 235429, 36.6794, -76.3018
95, North Las Vegas, Nevada, 234807, 36.2830, -115.0893
96, Fremont, California, 232206, 37.4944, -121.9411
97, Baton Rouge, Louisiana, 228590, 30.4485, -91.1259
98, Richmond, Virginia, 220289, 37.5314, -77.4760
99, Boise, Idaho, 218281, 43.5985, -116.2311
100, San Bernardino, California, 216108, 34.1393, -117.2953
101, Spokane, Washington, 213272, 47.6736, -117.4166
102, Birmingham, Alabama, 212461, 33.5274, -86.7990
103, Modesto, California, 211266, 37.6609, -120.9891
104, Des Moines, Iowa, 210330, 41.5739, -93.6167
105, Rochester, New, 209802, 43.1699, -77.6169
106, Tacoma, Washington, 207948, 47.2522, -122.4598
107, Fontana, California, 207460, 34.1088, -117.4627
108, Oxnard, California, 207254, 34.2023, -119.2046
109, Moreno Valley, California, 204198, 33.9233, -117.2057
110, Fayetteville, North, 201963, 35.0851, -78.9803
111, Huntington Beach, California, 201899, 33.6906, -118.0093
112, Yonkers, New, 201116, 40.9459, -73.8674
113, Glendale, California, 201020, 34.1814, -118.2458
114, Aurora, Illinois, 200661, 41.7635, -88.2901
115, Montgomery, Alabama, 200602, 32.3463, -86.2686
116, Columbus, Georgia, 200579, 32.5102, -84.8749
117, Amarillo, Texas, 198645, 35.1978, -101.8287
118, Little Rock, Arkansas, 197992, 34.7254, -92.3586
119, Akron, Ohio, 197542, 41.0805, -81.5214
120, Shreveport, Louisiana, 197204, 32.4670, -93.7927
121, Augusta, Georgia, 197182, 33.3655, -82.0734
122, Grand Rapids, Michigan, 195097, 42.9612, -85.6556
123, Mobile, Alabama, 194288, 30.6684, -88.1002
124, Salt Lake City, Utah, 192672, 40.7785, -111.9314
125, Huntsville, Alabama, 190582, 34.7843, -86.5390
126, Tallahassee, Florida, 189907, 30.4551, -84.2534
127, Grand Prairie, Texas, 187809, 32.6842, -97.0210
128, Overland Park, Kansas, 186515, 38.8890, -94.6906
129, Knoxville, Tennessee, 185291, 35.9709, -83.9465
130, Worcester, Massachusetts, 184815, 42.2695, -71.8078
131, Brownsville, Texas, 183887, 26.0183, -97.4538
132, Newport News, Virginia, 182385, 37.0760, -76.5217
133, Santa Clarita, California, 182371, 34.4049, -118.5047
134, Port St. Lucie, Florida, 179413, 27.2810, -80.3838
135, Providence, Rhode, 179207, 41.8231, -71.4188
136, Fort Lauderdale, Florida, 178590, 26.1413, -80.1439
137, Chattanooga, Tennessee, 176588, 35.0665, -85.2471
138, Tempe, Arizona, 175826, 33.3884, -111.9318
139, Oceanside, California, 175691, 33.2246, -117.3062
