Rank,Country,EPI Score 2016
176,Afghanistan,37.5
61,Albania,74.38
83,Algeria,70.28
145,Angola,51.32
122,Antigua and Barbuda,62.55
43,Argentina,79.84
37,Armenia,81.6
13,Australia,87.22
18,Austria,86.64
31,Azerbaijan,83.78
86,Bahrain,70.07
173,Bangladesh,41.77
140,Barbados,54.96
35,Belarus,82.3
41,Belgium,80.15
68,Belize,73.55
166,Benin,43.66
110,Bhutan,64.99
76,Bolivia,71.09
120,Bosnia and Herzegovina,63.28
79,Botswana,70.72
46,Brazil,78.9
98,Brunei Darussalam,67.86
33,Bulgaria,83.4
165,Burkina Faso,43.71
168,Burundi,43.37
146,Cambodia,51.24
136,Cameroon,57.13
25,Canada,85.06
143,Cape Verde,51.98
159,Central African Republic,46.46
175,Chad,37.83
52,Chile,77.67
109,China,65.1
57,Colombia,75.93
152,Comoros,49.2
128,Congo,59.56
42,Costa Rica,80.03
127,Cote d'Ivoire,59.89
15,Croatia,86.98
45,Cuba,79.04
40,Cyprus,80.24
27,Czech Republic,84.67
171,Dem. Rep. Congo,42.05
4,Denmark,89.21
164,Djibouti,45.29
70,Dominica,73.25
58,Dominican Republic,75.32
103,Ecuador,66.58
104,Egypt,66.45
97,El Salvador,68.07
90,Equatorial Guinea,69.59
179,Eritrea,36.73
8,Estonia,88.59
163,Ethiopia,45.83
59,Fiji,75.29
1,Finland,90.68
10,France,88.2
100,Gabon,67.37
111,Georgia,64.96
30,Germany,84.26
130,Ghana,58.89
21,Greece,85.81
120,Grenada,63.28
88,Guatemala,69.64
139,Guinea,55.4
155,Guinea-Bissau,48.2
75,Guyana,71.14
169,Haiti,43.28
88,Honduras,69.64
28,Hungary,84.6
2,Iceland,90.51
141,India,53.58
107,Indonesia,65.85
105,Iran,66.32
116,Iraq,63.97
19,Ireland,86.6
49,Israel,78.14
29,Italy,84.48
54,Jamaica,77.02
39,Japan,80.59
74,Jordan,72.24
69,Kazakhstan,73.29
123,Kenya,62.49
125,Kiribati,60.48
113,Kuwait,64.41
71,Kyrgyz Republic,73.13
148,Laos,50.29
22,Latvia,85.71
94,Lebanon,69.14
157,Lesotho,47.17
167,Liberia,43.42
119,Libya,63.29
23,Lithuania,85.49
20,Luxembourg,86.58
50,Macedonia,78.02
178,Madagascar,37.1
151,Malawi,49.69
63,Malaysia,74.23
137,Maldives,57.1
174,Mali,41.48
9,Malta,88.48
160,Mauritania,46.31
77,Mauritius,70.85
67,Mexico,73.59
55,Moldova,76.69
114,Mongolia,64.39
47,Montenegro,78.89
64,Morocco,74.18
172,Mozambique,41.82
153,Myanmar,48.98
78,Namibia,70.84
149,Nepal,50.21
36,Netherlands,82.03
11,New Zealand,88
115,Nicaragua,64.19
177,Niger,37.48
133,Nigeria,58.27
17,Norway,86.9
126,Oman,60.13
144,Pakistan,51.42
51,Panama,78
156,Papua New Guinea,48.02
82,Paraguay,70.36
73,Peru,72.95
66,Philippines,73.7
38,Poland,81.26
7,Portugal,88.63
87,Qatar,69.94
34,Romania,83.24
32,Russia,83.52
147,Rwanda,50.34
85,Samoa,70.2
154,Sao Tome and Principe,48.28
95,Saudi Arabia,68.63
117,Senegal,63.73
48,Serbia,78.67
112,Seychelles,64.92
162,Sierra Leone,45.98
14,Singapore,87.04
24,Slovakia,85.42
5,Slovenia,88.98
158,Solomon Islands,46.92
180,Somalia,27.66
81,South Africa,70.52
80,South Korea,70.61
6,Spain,88.91
108,Sri Lanka,65.55
170,Sudan,42.25
96,Suriname,68.58
124,Swaziland,60.63
3,Sweden,90.43
16,Switzerland,86.93
101,Syria,66.91
60,Taiwan,74.88
72,Tajikistan,73.05
132,Tanzania,58.34
91,Thailand,69.54
93,The Bahamas,69.34
142,The Gambia,52.09
138,Timor-Leste,55.79
161,Togo,46.1
102,Tonga,66.86
62,Trinidad and Tobago,74.34
53,Tunisia,77.28
99,Turkey,67.68
84,Turkmenistan,70.24
135,Uganda,57.56
44,Ukraine,79.69
92,United Arab Emirates,69.35
12,United Kingdom,87.38
26,United States of America,84.72
65,Uruguay,73.98
118,Uzbekistan,63.67
134,Vanuatu,57.74
56,Venezuela,76.23
131,Viet Nam,58.5
150,Yemen,49.79
106,Zambia,66.06
129,Zimbabwe,59.25
