Rank,Country,2016 EPI Score,10-Year Percent Change,Environmental Health,Ecosystem Vitality,EH - Health Impacts,EH - Air Quality,EH -Water and Sanitation,EV - Water Resources,EV - Agriculture,EV - Forests,EV - Fisheries,EV- Biodiversity and Habitat,EV - Climate and Energy,Environmental Risk Exposure,Household Air Quality,Household Air Quality - Risk Exposure,Air Pollution - Average Exposure to PM2.5,Air Pollution - Average Exposure to PM2.5 - Risk Exposure,Air Pollution - Average PM2.5 Exceedance,Air Pollution - Average Exposure to NO2,Access to Sanitation,Unsafe Sanitation- Risk Exposure,Access to Drinking Water,Unsafe Drinking Water Quality -Risk Exposure,Wastewater Treatment,Nitrogen Use Efficiency,Nitrogen Balance,Tree Cover Loss,Fish Stocks,Terrestrial Protected Areas (National Biome Weights),Terrestrial Protected Areas (Global Biome Weights),Marine Protected Areas,Species Protection (National),Species Protection (Global),Trend in Carbon Intensity,Trend in CO2 Emissions per KwH,Access to Electricity
1,Finland,90.68,3.19,97.23,84.13,99.35,93.77,98.57,93.52,85.89,17.37,72.87,96.93,90.2,99.35,95,100,100,94.33,100,53.72,94.29,100,100,100,93.52,81.18,100,17.37,72.87,100,100,100,92.09,92.55,91.67,85.8,100
2,Iceland,90.51,6.91,98.67,82.35,99.68,97.04,99.29,88.2,88.89,NA,57.27,66.04,96.4,99.68,95,100,100,95.88,100,84.06,97.15,100,100,100,88.2,85.19,100,NA,57.27,77.73,76.7,21.8,74.96,79.02,95.2,100,100
3,Sweden,90.43,5.58,97.29,83.57,99.03,93.26,99.57,96.08,100,16.32,50.82,88.76,92.73,99.03,95,100,100,94.03,98.77,52.77,98.29,100,100,100,96.08,100,100,16.32,50.82,80.07,79.41,97.31,91.8,95.22,94.5,87.42,100
4,Denmark,89.21,4.98,94.29,84.12,96.19,86.98,99.71,95.72,96.63,28.08,23.06,97.6,88.67,96.19,95,100,100,86.38,89.67,28.7,98.86,100,100,100,95.72,95.5,100,28.08,23.06,94.89,93.1,100,100,100,89.49,86.21,100
5,Slovenia,88.98,12.15,88.32,89.65,88.86,78.26,97.83,87.8,92.05,84.71,NA,100,82.2,88.86,95,100,84.82,75.25,66.06,51.81,97.72,96.01,97.94,99.67,87.8,89.4,100,84.71,NA,100,100,NA,100,100,82.99,79.84,100
6,Spain,88.91,10.01,94.57,83.24,92.5,91.27,99.93,97.52,78.2,41.5,45.05,96.73,81.83,92.5,95,100,100,82.04,98.77,50.83,99.71,100,100,100,97.52,70.93,100,41.5,45.05,100,100,84.85,98.8,100,78.01,93.29,100
7,Portugal,88.63,10.88,96.55,80.7,96.5,93.36,99.79,85.4,100,0,54.03,95.78,90.82,96.5,95,100,100,86.99,100,60.63,99.14,100,100,100,85.4,100,100,0,54.03,100,100,80.12,98.8,100,89.12,95.93,100
8,Estonia,88.59,5.91,95.26,81.91,97.44,92.9,95.44,90.9,100,22.2,56.47,100,76.58,97.44,95,100,100,89.13,99.39,54.64,93.72,91.33,98.35,98.34,90.9,100,100,22.2,56.47,100,100,100,100,100,74.91,81.59,100
9,Malta,88.48,11.62,92.83,84.13,83.68,94.81,100,89.37,49.75,NA,82.36,93.98,84.79,83.68,95,100,100,72.87,100,96.25,100,100,100,100,89.37,65.56,2.3,NA,82.36,100,100,69.88,100,100,79.72,100,100
10,France,88.2,8.7,89.97,86.44,88.25,82.43,99.22,92.41,98.79,55.05,60.75,99.52,80.12,88.25,95,100,100,75.59,79.33,30.46,96.86,100,100,100,92.41,98.39,100,55.05,60.75,100,100,100,97.61,100,83.39,70.32,100
11,New Zealand,88,22.07,97.81,78.19,97.76,95.67,100,90.52,65.32,35.27,27.89,92.75,83.69,97.76,95,100,100,90.96,100,77.78,100,100,100,100,90.52,87.09,0,35.27,27.89,91.6,89.19,100,88.91,94.03,81.78,89.42,100
12,United Kingdom,87.38,7.02,93.85,80.92,95.26,86.78,99.5,98.94,61.28,30.36,22.91,98.98,84.53,95.26,95,100,100,85.15,92.37,20.48,98,100,100,100,98.94,81.7,0,30.36,22.91,100,100,96.97,97.91,100,88.75,71.85,100
13,Australia,87.22,21.75,98.71,75.73,100,96.13,100,97.88,83.9,33.92,39.6,87.18,62.81,100,95,100,100,97.76,100,72.17,100,100,100,100,97.88,78.53,100,33.92,39.6,85.81,81.38,100,81.25,87.47,61.93,65.47,100
14,Singapore,87.04,-0.43,89.35,84.74,80.26,87.8,100,100,NA,NA,64.21,72.26,95.44,80.26,95,100,100,64.02,100,39.44,100,100,100,100,100,NA,NA,NA,64.21,59.94,59.46,83.7,66.54,91.66,95.9,94.05,100
15,Croatia,86.98,22.37,86.37,87.59,87.65,75.59,95.87,83.75,92.05,81.31,65.35,98.96,85.23,87.65,93.1,100,76.72,73.9,58.6,64.51,93.44,95.68,98.35,96.01,83.75,89.4,100,81.31,65.35,100,100,98.66,96.14,100,85.73,83.72,100
16,Switzerland,86.93,4.71,83.78,90.09,79.31,72.09,99.93,98.23,94.06,83.96,NA,90.43,82.53,79.31,95,100,84.82,60.31,56.25,41.99,99.71,100,100,100,98.23,92.08,100,83.96,NA,78.07,84.56,NA,99.1,100,76.71,100,100
17,Norway,86.9,5.73,97.82,75.98,100,94.59,98.86,93.89,63.01,66.85,93.89,82.2,57.12,100,95,100,100,96.82,100,58.15,95.44,100,100,100,93.89,79.61,13.2,66.85,93.89,89.19,87.36,68.88,77.21,88.38,56.78,58.14,100
18,Austria,86.64,10.44,86.41,86.87,87.04,72.19,100,97.16,99.7,53.63,NA,93.33,78.76,87.04,95,100,76.72,73.56,56.25,35.24,100,100,100,100,97.16,99.6,100,53.63,NA,100,100,NA,97.32,76.01,79.3,77.13,100
19,Ireland,86.6,3.48,95.6,77.61,98.39,94.39,94.02,84.99,75.76,20.34,26.5,90.51,91.19,98.39,95,100,100,92.8,100,62.22,83.64,100,92.42,100,84.99,92.95,24.2,20.34,26.5,87.97,86.74,86.36,91.8,99.7,89.86,95.18,100
20,Luxembourg,86.58,5.15,88.88,84.29,85.52,82.54,98.57,99.3,54.6,NA,NA,100,74.05,85.52,95,100,100,72.18,83.95,22.75,94.29,100,100,100,99.3,72.79,0,NA,NA,100,100,NA,100,100,65.4,100,100
21,Greece,85.81,27.92,89.09,82.54,80.89,87.01,99.36,92.03,100,62.66,42.96,94.82,69.64,80.89,95,100,100,70.77,84.69,67.42,97.43,100,100,100,92.03,100,100,62.66,42.96,100,100,74.12,100,100,65.95,80.72,100
22,Latvia,85.71,8.02,91,80.42,93.11,88.77,91.11,96.44,83.08,6.46,42.11,97.81,83.19,93.11,95,100,100,81.1,86.86,62.99,81.75,87.57,97.1,98.01,96.44,77.44,100,6.46,42.11,100,100,100,92.66,96.41,77.58,100,100
23,Lithuania,85.49,9.25,89.13,81.86,90.07,86.47,90.85,82.91,99.1,24.83,53.33,98.55,85.72,90.07,95,100,100,74.58,82.45,62.99,87,88.61,88.45,99.34,82.91,98.79,100,24.83,53.33,97.29,97.59,100,98.2,99.7,80.96,100,100
24,Slovakia,85.42,10.4,83.77,87.07,82.44,70.74,98.12,86.21,91.37,45.46,NA,100,90.78,82.44,95,100,69.45,68.97,52.49,49.82,97.15,96.68,100,98.67,86.21,88.49,100,45.46,NA,100,100,NA,100,100,98.3,68.22,100
