City,State/Territory,Estimate1 (low),Estimate2 (high)
"Abilene, TX",TX,200,200
"Accident, MD",MD,54,54
"Adak, AK",AK,10,10
"Adrian, MI",MI,150,150
"Ajo, AZ",AZ,250,250
"Alameda, CA",CA,8,8
"Alamosa, CO",CO,350,350
"Albany, CA",CA,500,500
"Albany, NY",NY,"7,000","9,000"
"Alexandria, VA",VA,17,17
"Albuquerque, NM",NM,"3,000","15,000"
"Alliance, NE",NE,100,150
"Almanor West, CA",CA,4,4
"Alpine, TX",TX,96,96
"Altoona, PA",PA,,
"Amarillo, TX",TX,600,700
"Amelia Island, FL",FL,700,"1,367"
"Anacortes, WA",WA,"1,200","1,200"
"Anchorage, AK",AK,"2,000","3,500"
"Angola, IN",IN,24,60
"Ann Arbor, MI",MI,"11,000","11,000"
"Annapolis, MD",MD,"1,600","1,600"
"Annville, PA",PA,30,30
"Appleton, WI",WI,3,3
"Arden, DE",DE,40,50
"Arlington, VA",VA,,
"Asbury Park, NJ",NJ,"6,000","6,000"
"Asheville, NC",NC,"7,000","10,000"
"Ashland, OR",OR,"15,000",15000
"Aspen, CO",CO,200,1000
"Astoria, OR",OR,"1,300",1600
"Athens, GA",GA,700,5000
"Athens, OH",OH,300,500
"Atlanta, GA",GA,"60,000",63000
"Augusta, GA",GA,600,600
"Augusta, ME",ME,"5,000",10000
"Austin, TX",TX,"33,000","72,000"
"Avalon, CA",CA,44,44
"Bailey, CO",CO,5,5
"Bainbridge Island, WA",WA,200,350
"Bakersfield, CA",CA,88,150
"Baltimore, MD",MD,"5,000",5000
"Bar Harbor, ME",ME,,
"Bandon, OR",OR,70,70
"Bayfield, WI",WI,427,427
Beaufort,NC,11,11
"Beaumont, TX",TX,300,300
"Beaver, PA",PA,275,300
"Beaver Island, MI",MI,18,22
"Bellingham, WA",WA,"5,000",6000
"Bemidji, MN",MN,250,500
"Bend, OR",OR,"3,000","5,000"
"Bentonville, AR",AR,300,600
"Berkeley, CA",CA,200,"1,000"
"Bethel, AK",AK,40,100
"Bethlehem, CT",CT,2,2
"Bethlehem, PA",PA,500,540
"Bettendorf, IA",IA,300,800
"Beverly Hills, CA",CA,250,300
"Binghamton, NY",NY,"2,000","3,000"
"Birmingham, AL",AL,"5,000",10000
"Bishop, CA",CA,600,600
"Bismarck, ND",ND,500,500
"Black Mountain, NC",NC,250,400
"Block Island, RI",RI,60,80
"Bloomsburg, PA",PA,40,60
"Bluff, UT",UT,48,48
"Boise, ID",ID,"5,000",5000
"Borrego Springs, CA",CA,140,150
"Boston, MA",MA,"175,000","175,000"
"Bozeman, MT",MT,13,13
"Breen, CO",CO,1,1
"Bridgewater, MA",MA,12,12
"Brighton, MI",MI,300,300
"Brattleboro, VT",VT,250,250
"Brookings, OR",OR,250,300
"Broomfield, CO",CO,100,200
"Brownsville, TX",TX,300,390
"Brunswick, ME",ME,300,400
"Buffalo, NY",NY,"2,500","3,000"
"Burbank, CA",CA,300,300
"Burns, OR",OR,20,20
"Burnsville, NC",NC,80,80
Cambridge,MN,22,22
"Canton, NY",NY,135,300
"Cape Henlopen, DE",DE,250,250
"Carbondale, CO",CO,200,700
"Carbondale, IL",IL,"1,000","1,785"
"Carmel, CA",CA,15,25
"Casper, WY",WY,700,"1,000"
"Cathlamet, WA",WA,2,2
"Cedaredge, CO",CO,,
"Champaign, IL",IL,"5,000","5,800"
"Charleston, SC",SC,"2,000","2,000"
"Charleston, WV",WV,"2,000","3,000"
"Charlotte, NC",NC,"20,000","30,000"
"Charlottesville, VA",VA,"2,000","2,500"
"Chattanooga, TN",TN,"1,000","3,000"
"Chelan, WA",WA,400,470
"Chesapeake Bay, MD",MD,1,1
"Cheyenne, WY",WY,"1,200","2,000"
"Chicago, IL",IL,"250,000","250,000"
"Chico, CA",CA,"1,000","3,000"
"Chillicothe, OH",OH,"1,000","1,000"
"Christiansted, St. Croix",VI,350,550
"Cincinnati, OH",OH,"5,000","12,000"
"Clare, MI",MI,24,75
"Clarion, PA",PA,65,100
"Clemson, SC",SC,500,500
"Cleveland, OH",OH,"15,000",15000
"Cobb, CA",CA,2,2
"Cobleskill, NY",NY,300,300
"Cody, WY",WY,400,500
"College Station, TX",TX,50,50
"Colorado Springs, CO",CO,"7,000",7000
"Columbia, MD",MD,100,125
"Columbia, MO",MO,"2,000",3604
"Columbia, SC",SC,"2,000",3000
"Columbus, OH",OH,"2,000",2000
"Columbus, OH",OH,200,200
"Compton, CA",CA,35,45
"Concord, NH",NH,"4,000",6000
"Conover, WI",WI,1,1
"Conway, NH",NH,,
"Cooperstown, NY",NY,200,200
"Coos Bay, OR",OR,200,200
"Copper Harbor, MI",MI,19,36
"Cordova, AK",AK,108,114
"Corpus Christi, TX",TX,24,24
"Cortez, CO",CO,400,504
"Corvallis, OR",OR,100,100
"Craftsbury, VT",VT,15,15
"Crested Butte, CO",CO,350,500
"Crestone, CO",CO,1,1
"Cruz Bay, St. John",VI,200,200
"Crystal River, FL",FL,7,7
"Dallas, TX",TX,"5,000",8000
"Davis, WV",WV,12,12
"Dayton, OH",OH,"3,000",3000
"Daytona Beach, FL",FL,100,100
"Decorah, IA",IA,800,1000
"Delaware, OH",OH,127,130
"Delhi, NY",NY,50,120
"Deming, NM",NM,45,50
"Denton, TX",TX,"2,500",2800
"Denver, CO",CO,"100,000",200000
"Des Moines, IA",IA,"26,000","26,000"
"Detroit, MI",MI,4000,4000
Disability (online),,,
"Douglas-Saugatuck, MI",MI,"1,200","2,500"
"Doylestown, PA",PA,"1,000","2,000"
"Driggs, ID",ID,"1,000","1,000"
"Dubuque, IA",IA,400,400
"Duluth, MN",MN,"1,500","1,700"
"Durango, CO",CO,200,"1,000"
"Eagle Pass, TX",TX,30,30
"East Haddam, CT",CT,500,500
"East Liberty, PA",PA,2000,2000
"East Millinocket, ME",ME,4,4
"Eastport, ME",ME,111,111
"Eastsound, WA",WA,250,250
"Eau Claire, WI",WI,250,250
"Eau Gallie, FL",FL,,
"El Centro, CA",CA,100,100
"El Morro, NM",NM,30,30
"El Paso, TX",TX,"1,000","2,000"
"Elgin, IL",IL,200,"1,000"
"Elkton, OR",OR,,
"Elizabethtown, NY",NY,,
"Ellensburg, WA",WA,200,275
"Ellsworth, ME",ME,60,60
"Ely, MN",MN,50,50
"Encinitas, CA (Seacrest)",CA,50,50
"Enterprise, OR",OR,,
"Ephrata, WA",WA,250,250
"Erie, PA",PA,"2,500","4,000"
"Eugene, OR",OR,"7,000","10,000"
"Eureka, CA",CA,"5,000","8,000"
"Evanston, WY",WY,1,1
"Fairbanks, AK",AK,"2,000","2,000"
"Fairfax, CA",CA,25,60
"Fairfield, IA",IA,200,200
"Fairmont, WV",WV,95,95
"Falmouth, MA",MA,"1,000","1,000"
"Fargo, ND",ND,"1,000","3,000"
"Fayetteville, AR",AR,"1,000","1,000"
"Fernandina Beach, FL",FL,1000,1300
"Flagstaff, AZ",AZ,1000,2000
"Florence, OR",OR,300,300
"Floyd, VA",VA,200,200
"Forks, WA",WA,45,45
"Fort Atkinson, WI",WI,200,200
"Fort Bragg, CA",CA,2500,2800
"Fort Collins, CO",CO,600,600
"Fort Sumner, NM",NM,,
"Fort Wayne, IN",IN,1000,1000
"Fort Worth, TX",TX,5000,6000
"Francestown, NH",NH,134,134
"Frederick, MD",MD,"1,000","1,000"
"Fredonia, NY",NY,70,120
"Fresno, CA",CA,"2,000","2,000"
"Friday Harbor, WA",WA,"1,500","1,500"
"Gainesville, FL",FL,"1,500","1,500"
"Gainesville, FL",FL,500,500
"Galesburg, IL",IL,200,500
"Gila, NM",NM,1,1
"Glens Falls, NY",NY,"1,000","1,500"
"Glenwood Springs, CO",CO,100,100
"Gloucester, NJ",NJ,,
"Gold Canyon, AZ",AZ,,
"Gouldsboro, ME",ME,25,45
"Grand Forks, ND",ND,304,304
"Grand Junction, CO",CO,"4,500","5,000"
"Grand Marais, MN",MN,97,120
"Grand Rapids, MI",MI,"2,500",3000
"Grants Pass, OR",OR,1,1
"Green Bay, WI",WI,200,200
"Green Valley, AZ",AZ,350,575
"Greenfield, MA",MA,"1,000","2,000"
"Greensboro, NC",NC,"3,000","6,000"
"Greensburg, IN",IN,45,65
"Greenville, SC",SC,"2,000","2,000"
"Greenville, NC",NC,100,200
"Greenwood, IN",IN,,
"Gross Pointe, MI",MI,"1,143",1300
"Gualala, CA",CA,203,300
"Guilford, CT",CT,32,32
"Gulfport, MS",MS,300,709
"Gustavus, AK",AK,105,105
"Hagatna, Guam",GM,150,250
"Haines, AK",AK,150,170
"Halfway, OR",OR,31,31
"Harrisburg, PA",PA,900,"1,109"
"Harrisville, MI",MI,5,5
"Hartford, CT",CT,"10,000","10,000"
"Hattiesburg, MS",MS,,
"Helena, AR",AR,2,2
"Helena, MT",MT,"10,000","10,000"
"Hemet, CA",CA,98,98
"Hilldale, UT",UT,1,1
"Hillsborough, NC",NC,200,2000
"Hilo, HI",HI,"1,500",2200
"Holden Village, WA",WA,47,52
"Homer, AK",AK,900,900
Honolulu (Oahu) HI,HI,"3,000","8,000"
"Hood River, OR",OR,50,50
Hospital Ward,CA,5,5
"Houghton, MI",MI,500,500
"Houlton, ME",ME,45,50
"Houston, TX",TX,"20,000","22,000"
"Hudson, NY",NY,"2,000","3,000"
"Huntsville, AL",AL,80,110
"Huron, SD",SD,11,13
"Idaho Falls, ID",ID,500,500
"Indiana, PA",PA,100,200
"Indianapolis, IN",IN,"4,000","10,000"
"Inverness, CA",CA,5,5
"Iowa City, IA",IA,"1,000","1,000"
"Isla Vista, CA",CA,500,500
"Issaquah, WA",WA,56,56
"Ithaca, NY",NY,"8,000","10,000"
"Jackson, NH",NH,300,300
