Year,Apprehended,Removals,Returns
1925,22199,34885,NA
1926,12735,31454,NA
1927,16393,31417,15012
1928,23566,30464,19946
1929,32711,31035,25888
1930,20880,24864,11387
1931,22276,27886,11719
1932,22735,26490,10775
1933,20949,25392,10347
1934,10319,14263,8010
1935,11016,13877,7978
1936,11728,16195,8251
1937,13054,16905,8788
1938,12851,17341,9278
1939,12037,14700,9590
1940,10492,12254,8594
1941,11294,7336,6531
1942,11784,5542,6904
1943,11175,5702,11947
1944,31174,8821,32270
1945,69164,13611,69490
1946,99591,17317,101945
1947,193657,23434,195880
1948,192779,25276,197184
1949,288253,23874,276297
1950,468339,10199,572477
1951,509040,17328,673169
1952,543535,23125,703778
1953,885587,23482,885391
1954,1089583,30264,1074277
1955,254096,17695,232769
1956,87696,9006,80891
1957,59918,5989,63379
1958,53474,7875,60600
1959,45336,8468,56610
1960,70684,7240,52796
1961,88823,8181,52383
1962,92758,8025,54164
1963,88712,7763,69392
1964,86597,9167,73042
1965,110371,10572,95263
1966,138520,9680,123683
1967,161608,9728,142343
1968,212057,9590,179952
1969,283557,11030,240958
1970,345353,17469,303348
1971,420126,18294,370074
1972,505949,16883,450927
1973,655968,17346,568005
1974,788145,19413,718740
1975,766600,24432,655814
1976,1097739,38471,955374
1977,1042215,31263,867015
1978,1057977,29277,975515
1979,1076418,26825,966137
1980,910361,18013,719211
1981,975780,17379,823875
1982,970246,15216,812572
1983,1251357,19211,931600
1984,1246981,18696,909833
1985,1348749,23105,1041296
1986,1767400,24592,1586320
1987,1190488,24336,1091203
1988,1008145,25829,911790
1989,954243,34427,830890
1990,1169939,30039,1022533
1991,1197875,33189,1061105
1992,1258481,43671,1105829
1993,1327261,42542,1243410
1994,1094719,45674,1029107
1995,1394554,50924,1313764
1996,1649986,69680,1573428
1997,1536520,114432,1440684
1998,1679439,174813,1570127
1999,1714035,183114,1574863
2000,1814729,188467,1675876
2001,1387486,189026,1349371
2002,1062270,165168,1012116
2003,1046422,211098,945294
2004,1264232,240665,1166576
2005,1291065,246431,1096920
2006,1206408,280974,1043381
2007,960673,319382,891390
2008,1043759,359795,811263
2009,889212,391341,582596
2010,796587,381738,474195
2011,678606,386020,322098
2012,671327,416324,230360
2013,662483,434015,178691
2014,679996,407075,163245
2015,462388,333341,129122
