Year,CountryTotal,Afghanistan,Albania,Algeria,Angola,Antigua-Barbuda,Argentina,Armenia,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bolivia,Bosnia-Herzegovina,Brazil,Bulgaria,Burkina Faso,Burma,Cambodia,Cameroon,Canada,Cape Verde,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Czechoslovakia (former),Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Malaysia,Mali,Marshall Islands,Mauritania,Mexico,"Micronesia, Federated States",Moldova,Mongolia,Montenegro,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro (former),Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Soviet Union (former),Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,All other countries,Unknown
2006,98490,12,32,18,D,33,88,27,20,D,68,22,41,7,4,112,4,-,61,28,563,10,3,-,11,11,423,30,D,60,132,1307,7,3,100,8,5,39,D,16,D,14,2206,470,30,3850,3,4,48,19,D,35,D,7,7,61,69,19,20,3850,18,174,290,5752,8,14,150,22,16,4,11,53,78,1234,10,75,3,36,115,X,D,D,D,4,36,39,15,7,8,3,D,3,73171,23,6,4,X,26,8,47,11,592,8,202,5,94,11,114,6,314,260,116,93,53,44,D,22,13,14,3,4,23,X,29,15,3,5,D,5,24,X,5,25,6,5,7,8,10,21,9,-,5,16,7,23,248,8,25,-,7,48,-,195,19,5,130,19,16,7,12,11,8
2007,102394,11,23,6,3,37,76,34,21,8,72,25,33,4,4,116,3,-,37,29,352,23,4,D,17,10,411,50,D,73,97,1191,4,5,88,4,6,26,8,12,3,29,2044,392,29,4949,6,8,78,21,-,22,D,10,17,60,88,13,19,3917,20,191,519,5236,4,10,125,39,9,3,20,53,69,1139,11,65,D,43,123,X,-,D,D,3,33,43,14,8,21,4,10,4,76967,35,6,6,-,27,5,36,13,508,20,241,4,112,6,99,6,295,278,112,80,39,49,D,D,27,15,12,5,15,-,32,16,5,6,D,3,13,X,D,25,6,5,6,10,4,7,15,-,8,13,7,23,234,5,35,-,7,36,-,162,31,7,124,9,17,13,D,12,4
2008,105266,11,34,4,D,23,84,43,14,3,82,17,39,9,D,109,3,3,54,31,368,11,6,D,22,12,347,26,-,68,188,1081,5,5,132,10,9,32,13,12,D,22,2046,532,37,5558,4,5,32,26,4,29,D,7,15,63,61,23,17,5138,16,188,416,5476,6,19,164,68,11,7,19,41,74,1214,17,45,7,44,116,-,-,3,5,7,24,10,13,8,11,7,D,D,77531,56,9,10,-,31,8,29,13,533,7,209,4,74,6,99,5,337,280,115,87,50,68,3,8,16,12,12,11,20,-,30,7,3,6,-,D,18,X,6,27,9,4,4,7,5,9,24,3,12,20,4,27,273,9,33,5,10,62,-,179,49,9,120,8,10,7,3,25,10
2009,131837,6,42,3,D,28,106,29,19,D,99,17,36,11,3,126,4,9,54,49,388,14,5,D,28,10,418,42,-,70,135,1124,6,4,123,4,7,86,17,5,5,18,2207,602,36,6344,D,8,18,24,-,24,D,7,23,53,60,18,21,6547,14,216,473,6998,9,19,186,42,15,16,19,50,61,1246,12,66,9,70,129,4,D,D,D,4,35,22,14,11,15,3,D,D,99616,52,14,9,-,48,11,29,6,620,9,222,D,73,10,81,4,365,269,135,92,34,61,D,8,20,16,13,6,24,-,24,4,8,7,D,6,15,X,D,21,4,10,7,8,D,12,14,D,15,25,14,23,258,3,18,4,13,55,-,201,52,5,130,29,14,7,3,36,13
2010,169656,5,51,D,D,18,121,31,30,7,89,24,34,10,7,157,4,8,67,50,487,17,3,D,25,19,457,36,D,95,166,1241,4,D,157,4,7,73,19,6,4,23,2241,692,40,8368,-,3,30,29,D,41,D,8,21,84,65,22,29,9432,6,167,126,10420,12,10,177,43,15,35,21,55,62,1169,16,58,6,56,156,8,D,4,D,5,60,26,17,13,18,4,16,-,128396,60,9,17,-,41,8,27,17,804,6,184,4,78,11,123,8,419,326,169,84,56,89,D,7,13,18,D,11,13,-,27,11,8,19,3,9,12,X,D,30,19,16,5,8,D,17,18,D,14,26,6,22,264,10,51,6,10,61,D,207,65,17,133,9,10,5,6,40,19
2011,188964,9,37,4,4,12,114,31,21,5,110,28,32,11,7,155,D,D,93,53,550,17,-,D,74,15,417,10,D,87,217,1048,D,6,157,11,8,56,18,D,5,21,2142,704,29,8507,3,12,28,34,3,44,3,5,24,65,76,23,26,11718,11,139,251,10825,12,19,161,31,14,18,28,38,44,1225,14,52,8,56,156,14,4,D,4,14,37,28,20,11,9,4,D,D,145133,D,19,26,5,37,9,24,20,696,3,167,D,75,13,99,8,459,340,140,76,78,100,3,11,10,17,5,4,21,3,18,25,6,10,3,5,23,-,D,38,15,9,7,7,6,12,14,10,9,15,5,37,236,6,41,3,6,81,-,164,69,12,118,26,14,D,16,34,13
2012,200143,D,37,9,D,24,110,37,14,4,90,20,42,12,9,148,4,4,94,49,424,23,3,D,81,25,383,4,D,62,208,1055,4,4,132,8,11,54,20,6,3,17,2182,706,28,8674,-,8,30,15,D,42,-,4,15,58,79,14,15,13494,4,147,568,13815,15,24,160,20,13,15,24,43,49,1150,17,37,13,94,181,15,-,D,3,11,29,10,23,9,12,5,D,D,151444,D,24,22,8,37,9,27,17,731,7,162,D,61,15,92,6,414,292,162,86,85,81,D,33,12,25,D,17,9,12,4,28,D,7,-,5,25,-,D,37,10,18,5,16,4,D,15,6,9,25,7,27,177,12,33,5,3,84,-,183,59,8,122,28,11,13,5,29,13
2013,198981,5,30,D,D,16,83,28,24,5,80,11,23,10,6,118,D,10,66,67,368,24,3,D,11,17,380,D,-,57,171,961,-,D,125,9,6,26,-,18,D,9,1811,585,23,9451,-,9,23,16,3,32,D,5,15,48,53,14,5,15373,D,134,453,16625,8,29,129,21,10,16,20,33,50,997,16,34,8,65,135,13,D,3,3,10,18,36,26,7,10,3,24,D,146769,D,19,14,9,30,12,22,7,695,3,137,-,41,16,81,6,319,218,107,56,93,64,-,10,10,17,6,18,16,-,7,11,D,8,D,33,17,38,D,30,5,11,10,13,4,3,14,4,15,18,D,D,134,7,31,3,9,71,D,145,45,9,87,41,9,D,9,28,16
2014,169253,10,23,3,3,13,64,D,18,-,87,28,12,13,4,79,D,D,46,46,284,16,-,D,64,16,300,6,D,48,137,859,-,6,125,D,D,18,6,D,D,11,1640,565,20,9021,-,7,20,13,-,25,D,3,10,50,49,12,10,13732,7,122,350,14011,12,24,108,11,7,14,15,31,42,828,10,32,5,62,124,7,-,D,-,21,30,14,17,D,12,8,31,D,123024,D,12,10,5,21,17,22,10,637,5,124,D,45,15,57,7,326,202,96,47,66,42,D,D,5,17,7,20,9,D,D,9,4,5,-,22,25,9,D,34,7,D,D,10,D,-,7,D,14,17,D,D,136,6,18,-,13,49,D,146,31,11,77,30,8,7,D,31,9
2015,139950,D,21,D,3,11,58,D,16,3,66,13,12,D,4,83,3,7,37,43,282,17,D,D,15,11,258,4,-,41,117,763,D,D,87,3,D,15,15,D,-,7,1512,481,21,7115,-,3,13,8,D,19,D,D,5,34,32,4,8,10478,D,91,265,8526,8,11,133,9,11,13,12,22,38,630,12,23,4,53,66,9,D,D,D,22,19,3,11,D,9,D,21,D,106193,D,7,7,D,15,6,23,D,436,D,104,-,29,10,55,3,206,127,71,25,68,37,D,D,4,8,D,20,5,D,4,D,D,3,D,4,16,D,-,31,3,6,D,6,D,-,9,D,10,15,3,12,102,7,14,D,4,39,-,94,16,8,61,18,7,D,6,19,15
