Year,RegionTotal,Africa,Asia,Europe,North America,Oceania,South America,Unknown
2006,98490,704,1206,1054,92206,113,3199,8
2007,102394,805,1217,953,96498,143,2774,4
2008,105266,647,1339,1076,99139,165,2890,10
2009,131837,718,1334,1078,125416,160,3118,13
2010,169656,666,1559,1266,162443,203,3500,19
2011,188964,647,1567,1236,181887,218,3396,13
2012,200143,673,1469,1275,193320,189,3204,13
2013,198981,599,1135,1082,193235,193,2721,16
2014,169253,521,1080,890,164136,184,2433,9
2015,139950,365,780,702,135899,146,2043,15
