Year,CountryTotal,Afghanistan,Albania,Algeria,Angola,Antigua-Barbuda,Argentina,Armenia,Australia,Austria,Bahamas,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bolivia,Bosnia-Herzegovina,Brazil,Bulgaria,Burkina Faso,Burma,Cambodia,Cameroon,Canada,Cape Verde,Chad,Chile,"China, People's Republic",Colombia,"Congo, Democratic Republic","Congo, Republic",Costa Rica,Cote d'Ivoire,Croatia,Cuba,Czech Republic,Czechoslovakia (former),Denmark,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guyana,Haiti,Honduras,Hong Kong,Hungary,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,"Korea, South",Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Liberia,Lithuania,Macedonia,Malaysia,Mali,Marshall Islands,Mauritania,Mexico,"Micronesia, Federated States",Moldova,Mongolia,Montenegro,Morocco,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Pakistan,Palau,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Saint Kitts-Nevis,Saint Lucia,Saint Vincent and the Grenadines,Samoa,Saudi Arabia,Senegal,Serbia,Serbia and Montenegro (former),Sierra Leone,Singapore,Slovakia,Slovenia,Somalia,South Africa,South Sudan,Soviet Union (former),Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe,All other countries,Unknown
2006,182484,8,220,23,D,7,369,70,34,D,23,129,5,17,10,99,7,D,291,14,3654,54,14,14,16,49,990,7,-,185,1230,1481,16,23,695,33,10,85,D,52,D,14,901,1280,142,7200,7,19,57,28,D,89,-,36,35,97,118,16,7,16677,60,115,617,21308,7,61,898,366,43,17,43,144,66,428,43,115,12,61,336,X,D,D,D,15,118,25,48,31,58,21,-,43,113555,7,6,44,X,64,22,42,21,1854,22,216,10,473,-,95,53,1024,398,334,53,135,125,D,3,22,7,4,19,101,X,76,20,13,30,D,34,45,X,3,34,76,17,14,17,5,49,77,D,15,57,16,9,150,25,133,-,19,126,10,190,123,43,314,22,31,7,14,51,69
2007,216988,16,223,21,14,8,319,40,31,5,25,113,7,17,13,117,4,D,345,13,3858,57,9,D,12,53,852,11,D,164,767,1802,13,12,567,26,7,50,33,40,11,20,946,1172,116,15096,5,13,72,24,D,78,D,25,36,105,143,17,9,21981,46,102,973,24501,24,75,707,395,39,24,37,193,89,351,27,147,D,83,294,X,7,D,D,16,95,26,63,26,44,31,-,17,132029,8,10,40,-,61,38,39,22,1799,20,194,5,433,-,86,43,913,419,298,44,161,139,D,D,19,11,11,26,64,-,105,35,11,38,D,16,32,X,D,40,54,8,6,25,12,33,111,D,15,78,16,9,129,18,120,3,24,126,5,216,132,39,358,18,47,12,D,52,39
2008,254529,20,297,17,D,5,306,43,33,15,23,98,5,16,D,104,11,6,222,14,3468,66,12,D,18,54,955,9,7,143,689,1509,27,17,560,33,15,33,39,43,D,13,1186,1798,129,14492,6,20,55,45,7,124,D,19,40,115,141,27,11,22389,58,96,1168,23409,17,76,768,421,29,30,60,217,141,414,71,116,18,96,303,-,10,7,15,16,84,16,56,52,41,26,D,D,169732,8,36,40,-,30,38,64,26,1724,32,226,16,309,4,91,35,938,409,383,71,166,170,4,6,14,11,8,21,67,-,135,20,18,29,4,D,41,X,8,67,104,11,10,31,15,37,57,7,29,82,26,11,205,29,150,5,18,120,5,300,124,47,292,22,34,13,40,64,151
2009,259504,12,254,24,D,15,342,66,64,D,44,87,12,25,24,116,5,6,224,8,3336,68,6,D,18,45,907,7,6,135,831,1590,11,17,572,20,16,44,49,43,26,17,1369,1781,121,14500,D,18,58,30,10,212,D,20,48,151,169,30,8,23094,47,86,257,20285,16,112,860,389,40,17,110,363,183,416,75,148,25,105,265,10,D,D,D,26,109,29,58,38,44,20,D,D,176979,14,30,39,-,47,44,100,29,1552,22,202,D,285,4,118,43,917,478,460,114,119,202,D,4,17,16,6,12,64,-,77,13,15,35,D,20,36,X,D,135,96,9,10,56,D,22,71,D,27,80,14,8,226,12,131,7,18,137,D,518,118,84,369,23,39,9,24,60,60
2010,212082,12,187,D,D,6,230,52,39,12,17,72,10,16,24,96,4,5,148,11,3046,56,5,D,18,52,883,11,D,90,894,1161,7,D,396,26,16,33,59,23,23,15,1130,1693,83,11978,7,21,49,34,D,153,D,19,38,117,134,19,18,20277,20,54,351,14701,21,79,782,318,59,24,86,272,139,312,30,79,35,115,200,14,D,9,D,28,107,21,49,32,35,31,-,19,144233,4,35,36,-,36,49,68,18,1099,18,185,11,253,-,65,32,689,421,381,100,112,148,D,8,22,8,D,27,52,-,82,25,9,48,7,30,49,X,D,107,336,11,6,40,D,37,44,D,17,89,12,12,116,20,127,5,18,111,D,294,104,64,258,29,30,18,27,65,40
2011,197056,8,134,9,9,7,172,27,31,20,24,60,9,11,10,60,D,D,102,10,2800,51,4,D,15,60,873,17,D,68,808,851,D,15,221,15,10,23,28,D,4,12,750,1012,80,8872,6,16,25,27,4,83,11,21,21,89,112,23,19,18625,24,48,478,11202,9,65,562,293,43,8,31,167,80,248,23,60,23,83,268,14,3,D,13,27,56,12,27,22,29,19,D,D,141839,D,42,51,5,26,41,41,24,806,8,194,D,154,-,50,17,523,355,286,72,126,142,5,9,13,3,4,12,30,8,61,19,8,27,4,26,29,-,D,84,221,8,6,22,6,24,55,23,18,72,11,8,90,8,85,9,22,127,4,163,103,50,190,27,25,D,18,49,65
2012,216181,D,75,10,D,15,107,19,23,4,18,53,8,17,6,61,4,4,57,4,1973,29,6,D,8,22,582,6,D,43,831,536,9,6,268,18,7,8,28,13,12,5,685,1057,72,10319,10,8,28,15,D,65,7,17,13,55,100,13,13,25405,23,28,135,17924,10,48,417,204,23,11,21,148,70,169,22,58,25,51,162,10,5,D,8,10,37,16,17,21,18,9,D,D,150232,D,34,33,4,21,29,15,17,669,9,141,D,112,-,27,13,358,188,251,50,112,95,D,4,11,3,D,19,25,6,19,7,-,19,4,36,18,-,-,56,90,11,-,17,9,D,32,10,6,45,9,6,56,5,88,5,7,85,D,140,52,18,148,34,26,7,7,42,21
2013,235034,7,30,D,D,5,64,5,22,9,18,42,3,4,7,59,D,-,54,6,1081,15,6,D,6,12,420,D,D,42,617,479,D,D,196,9,3,13,7,19,-,8,486,925,44,11470,D,8,18,6,6,49,D,7,16,36,52,13,7,31575,D,17,62,19966,8,38,286,73,20,15,29,97,64,111,31,35,13,34,120,8,D,5,6,29,22,5,15,9,12,7,-,D,163038,D,14,10,9,16,29,19,9,651,4,212,5,92,-,45,16,326,137,116,25,105,58,4,4,16,5,4,34,24,D,13,7,D,16,D,29,19,-,D,63,47,5,3,10,4,14,32,5,10,42,D,D,35,5,57,6,11,40,D,78,34,22,112,26,8,D,5,30,18
2014,237822,7,24,4,12,-,54,D,25,4,15,55,4,7,6,51,D,D,38,6,669,18,12,D,4,17,404,6,D,35,522,490,4,5,158,D,D,12,33,D,D,3,426,963,53,17874,D,3,12,8,3,38,D,5,10,25,62,16,3,40515,8,18,46,26622,7,32,330,45,9,11,15,73,48,207,23,37,11,24,89,3,5,D,D,8,22,5,11,D,9,11,-,D,144625,D,25,14,5,20,16,16,8,659,3,328,D,42,-,29,11,365,116,94,16,75,57,D,D,10,4,3,47,16,D,D,3,6,11,5,41,14,-,-,69,22,D,D,5,D,6,36,D,13,34,D,D,27,4,37,6,10,42,D,66,21,23,88,13,10,4,D,31,13
2015,193391,D,19,D,7,5,74,D,16,4,7,51,-,D,3,51,5,4,32,12,710,17,D,D,-,20,371,4,4,47,517,775,D,D,132,7,D,23,9,-,6,4,353,933,32,14356,5,3,20,5,D,20,D,D,9,13,38,10,5,22755,D,19,194,11678,8,17,369,20,9,16,9,79,31,222,20,65,8,23,79,3,D,D,D,10,24,6,7,D,7,D,-,D,136263,D,6,13,D,13,14,13,D,478,D,476,D,55,-,44,17,302,76,102,15,77,53,D,D,8,3,-,44,17,D,4,D,D,6,D,99,33,-,-,69,16,5,D,11,D,4,22,D,9,38,8,7,24,9,38,D,5,50,D,55,18,6,143,27,6,D,5,19,20
