Year,RegionTotal,Africa,Asia,Europe,North America,Oceania,South America,Unknown
2006,280974,2103,6366,3156,256952,218,12102,77
2007,319382,2112,5745,3164,296082,248,11988,43
2008,359795,2064,5799,3929,335707,304,11831,161
2009,391341,2022,6240,4615,366005,317,12069,73
2010,381738,1886,6224,4007,358237,314,11011,59
2011,386020,1663,5304,3235,366137,315,9288,78
2012,416324,1434,4331,2743,399950,256,7576,34
2013,434015,1214,3148,2070,421438,237,5874,34
2014,407075,1266,2809,1717,395844,231,5186,22
2015,333341,1293,2451,1389,322882,177,5114,35
